CardCode;GroupName;City;Name;PymntGroup
CN5437;CLINICAS PRIVADAS;CALI;NULL;CREDITO 60 DIAS, 30 DIAS 3%, CONTADO 5%
CN5439;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN5441;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5442;NO DEDICADO A SALUD;CALI;NULL;CREDITO 30 DIAS
CN5445;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5446;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CONTADO - CONTRA ENTREGA
CN5452;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN5453;ODONTO CENTRO ODONTO;NULL;NULL;CREDITO 30 DIAS
CN5461;BELLEZA Y ESTETICA;CALI;NULL;Contado
CN5467;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 60 DIAS, 30 DIAS 3%, CONTADO 5%
CN5470;NO DEDICADO A SALUD;CALI;NULL;CREDITO 30 DIAS
CN5472;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5477;CLINICAS PRIVADAS;CALI;NULL;Contado
CN5479;CLINICAS PUBLICAS;TORIBIO/C;NULL;CREDITO 30 DIAS
CN5482;CLINICAS PRIVADAS;CALI;NULL;CREDITO 60 DIAS
CN5484;NO DEDICADO A SALUD;YUMBO/V;NULL;CREDITO 30 DIAS
CN5485;OCASION PACIEN PARTI;CALI;NULL;Contado
CN5488;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5491;MED LAB OP AMBUL;CALI;NULL;CREDITO 30 DIAS
CN5496;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5499;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;Credito 45 dias
CN5501;MED LAB OP AMBUL;PALMIRA/V;NULL;Contado
CN5502;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5503;MED LAB OP AMBUL;CALI;NULL;Contado
CN5504;CLINICAS PRIVADAS;CALI;NULL;Contado
CN5508;ODONTO CENTRO ODONTO;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS 5%
CN5509;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5512;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5515;MED LAB OP AMBUL;CALI;NULL;Contado
CN5516;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5517;DROG FARMACIA Y MISC;PALMIRA/V;NULL;CREDITO 30 DIAS
CN5524;MED LAB OP AMBUL;CALI;NULL;Contado
CN5526;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;CONTADO - CONTRA ENTREGA
CN5529;CLINICAS PRIVADAS;CALI;NULL;CREDITO 60 DIAS, 30 DIAS 3%, CONTADO 5%
CN5530;MED LAB OP AMBUL;CALI;NULL;Contado
CN5531;MED LAB OP AMBUL;CALI;NULL;Contado
CN5535;CLINICAS PRIVADAS;MANIZALES/CALDAS;NULL;Contado
CN5536;MED LAB OP AMBUL;CALI;NULL;Contado
CN5537;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5541;MED LAB OP AMBUL;PASTO/N;NULL;Contado
CN5542;CLINICAS PRIVADAS;CALI;NULL;Contado
CN5547;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN5549;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5552;CLINICAS PRIVADAS;CALI;NULL;CREDITO 90 DIAS
CN5558;VETERINARIOS;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5564;MED LAB OP AMBUL;CALI;NULL;Contado
CN5567;CLINICAS PRIVADAS;PALMIRA;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5571;DROG FARMACIA Y MISC;CALI;NULL;CREDITO 30 DIAS 5%
CN5572;DROG FARMACIA Y MISC;CALI;NULL;CREDITO 30 DIAS 5%
CN5575;BELLEZA Y ESTETICA;BUGA/V;NULL;CREDITO 30 DIAS
CN5579;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5582;CLINICAS PRIVADAS;PASTO/N;NULL;CREDITO 90 DIAS
CN5583;BELLEZA Y ESTETICA;CALI;NULL;Contado
CN5584;NO DEDICADO A SALUD;CALI;NULL;CREDITO 30 DIAS
CN5585;MED LAB OP AMBUL;CALI;NULL;Contado
CN5593;MED LAB OP AMBUL;FLORIDA/V;NULL;CREDITO 30 DIAS
CN5594;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5595;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5597;VETERINARIOS;CALI;NULL;Contado
CN5600;DROG FARMACIA Y MISC;SEVILLA/V;NULL;CREDITO 30 DIAS
CN5609;NO DEDICADO A SALUD;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5611;CLINICAS PRIVADAS;CALI;NULL;CREDITO 30 DIAS 5%
CN5614;DROG FARMACIA Y MISC;BUENAVENTURA;VALLE DEL CAUCA;CONTADO - CONTRA ENTREGA
CN5623;VETERINARIOS;CALI;NULL;Contado
CN5625;MED LAB OP AMBUL;CALI;NULL;Contado
CN5626;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5630;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5631;VETERINARIOS;CALI;NULL;Contado
CN5632;MED LAB OP AMBUL;CALI;NULL;Contado
CN5634;MED LAB OP AMBUL;CALI;NULL;Contado
CN5635;ODONTO CENTRO ODONTO;SANTANDER/C;NULL;CREDITO 30 DIAS
CN5637;DROG FARMACIA Y MISC;GUAPI/C;NULL;Contado
CN5640;MED LAB OP AMBUL;CALI;NULL;CREDITO 30 DIAS
CN5644;DISTRIBUIDORES;BUGA;VALLE DEL RIO CAUCA;CREDITO 30 DIAS
CN5645;NO DEDICADO A SALUD;YUMBO/V;NULL;Contado
CN5647;DISTRIBUIDORES;CALI;NULL;CREDITO 30 DIAS
CN5648;ODONTO CENTRO ODONTO;CALI;NULL;Contado
CN5654;DISTRIBUIDORES;CALI;VALLE DEL CAUCA;CREDITO 30 DIAS
CN5660;ODONTO CENTRO ODONTO;PALMIRA/V;NULL;CREDITO 30 DIAS
CN5666;BELLEZA Y ESTETICA;CALI;VALLE DEL CAUCA;Contado
CN5669;MED LAB OP AMBUL;LA VICTORIA/V;NULL;Contado
CN5672;DROG FARMACIA Y MISC;FLORIDA/V;NULL;CREDITO 30 DIAS
CN5673;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5680;DROG FARMACIA Y MISC;YUMBO/V;NULL;Contado
CN5682;NO DEDICADO A SALUD;CALI;NULL;Contado
CN5686;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 60 DIAS
CN5687;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5696;DROG FARMACIA Y MISC;BUENAVENTURA;NULL;CREDITO 30 DIAS
CN5704;MED LAB OP AMBUL;CALI;NULL;CREDITO 30 DIAS
CN5706;CLINICAS PRIVADAS;CALI;NULL;Contado
CN5708;MED LAB OP AMBUL;CALI;NULL;Contado
CN5712;VETERINARIOS;CALI;NULL;Contado
CN5714;DROG FARMACIA Y MISC;BUGALAGRANDE/V;NULL;CREDITO 30 DIAS
CN5717;MED LAB OP AMBUL;CALI;NULL;Contado
CN5719;MED LAB OP AMBUL;CALI;NULL;Contado
CN5721;DROG FARMACIA Y MISC;CALI;NULL;CREDITO 30 DIAS
CN5722;CLINICAS PRIVADAS;MANIZALES/CALDAS;NULL;Contado
CN5724;DISTRIBUIDORES;BOGOTA/D.C.;NULL;Contado
CN5725;BELLEZA Y ESTETICA;CALI;NULL;Contado
CN5728;CLINICAS PRIVADAS;CALI;NULL;Contado
CN5729;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5731;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN5732;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5733;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5736;DROG FARMACIA Y MISC;CALI;VALLE DEL CAUCA;Contado
CN5737;DISTRIBUIDORES;CALI;NULL;Contado
CN5743;VETERINARIOS;CALI;NULL;Contado
CN5748;MED LAB OP AMBUL;CALI;NULL;Contado
CN5750;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5753;MED LAB OP AMBUL;CARTAGO/V;NULL;Contado
CN5755;VETERINARIOS;CALI;NULL;Contado
CN5756;MED LAB OP AMBUL;CALI;NULL;CREDITO 30 DIAS
CN5759;CLINICAS PUBLICAS;CALI;NULL;CREDITO 30 DIAS
CN5764;MED LAB OP AMBUL;CALI;NULL;Contado
CN5766;CLINICAS PRIVADAS;PEREIRA/R;NULL;CREDITO 90 DIAS
CN5770;CLINICAS PRIVADAS;BOGOTA/D.C.;NULL;CREDITO 30 DIAS
CN5772;MED LAB OP AMBUL;BOGOTA/D.C.;NULL;Contado
CN5773;MED LAB OP AMBUL;BOGOTA;BOGOTA;Contado
CN5773;MED LAB OP AMBUL;BOGOTA;BOGOTA;Contado
CN5784;CLINICAS PUBLICAS;BOGOTA/D.C.;CUNDINAMARCA;CREDITO 90 DIAS
CN5787;CLINICAS PRIVADAS;BOGOTA;BOGOTA;Contado
CN5787;CLINICAS PRIVADAS;BOGOTÁ;BOGOTA;Contado
CN5797;CLINICAS PUBLICAS;BOGOTA;BOGOTA;Contado
CN5801;OCASION PACIEN PARTI;CALI;NULL;Contado
CN5803;DISTRIBUIDORES;GUACARI/V;NULL;CREDITO 30 DIAS
CN5806;CLINICAS PRIVADAS;CALI;NULL;CREDITO 30 DIAS 3%, CONTADO 5%
CN5807;CLINICAS PRIVADAS;CALI;NULL;CREDITO 30 DIAS 3%, CONTADO 5%
CN5810;CLINICAS PRIVADAS;BOGOTA/D.C.;NULL;CREDITO 30 DIAS
CN5814;CLINICAS PRIVADAS;SOGAMOSO;NULL;CREDITO 30 DIAS
CN5815;CLINICAS PRIVADAS;BUCARAMANGA;SANTANDER;CREDITO 30 DIAS
CN5821;MED LAB OP AMBUL;CALI;NULL;Contado
CN5829;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5833;CLINICAS PRIVADAS;BOGOTA/D.C.;NULL;CREDITO 30 DIAS
CN5836;CLINICAS PRIVADAS;ARMENIA/Q;QUINDIO;CREDITO 45 DIAS, 30 DIAS 3%, CONTADO 5%
CN5842;MED LAB OP AMBUL;CALI;NULL;CREDITO 30 DIAS
CN5855;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5857;CLINICAS PRIVADAS;PASTO/N;NULL;CREDITO 30 DIAS
CN5858;ODONTO CENTRO ODONTO;CALI;NULL;CREDITO 30 DIAS
CN5865;BELLEZA Y ESTETICA;CALI;NULL;Contado
CN5866;VETERINARIOS;CALI;NULL;CREDITO 30 DIAS (CONTADO 5%)
CN5868;MED LAB OP AMBUL;CALI;NULL;Contado
CN5871;ODONTO CENTRO ODONTO;CALI;NULL;Contado
CN5872;BELLEZA Y ESTETICA;YUMBO/V;NULL;Contado
CN5873;MED LAB OP AMBUL;CALI;NULL;Contado
CN5876;DROG FARMACIA Y MISC;POPAYAN/C;NULL;CREDITO 30 DIAS
CN5891;MED LAB OP AMBUL;CALI;VALLE DEL CAUCA;Contado
CN5892;DISTRIBUIDORES;CALI;NULL;Contado
CN5896;VETERINARIOS;CALI;NULL;Contado
CN5897;VETERINARIOS;CALI;NULL;Contado
CN5898;ODONTO CENTRO ODONTO;CALI;NULL;Contado
CN5899;VETERINARIOS;CALI;NULL;Contado
CN5900;VETERINARIOS;YUMBO/V;NULL;Contado
CN5905;NO DEDICADO A SALUD;BOGOTA/D.C.;CUNDINAMARCA;CREDITO 30 DIAS
CN5910;CLINICAS PRIVADAS;BOGOTA/D.C.;CUNDINAMARCA;CONTADO - CONTRA ENTREGA
CN5912;VETERINARIOS;CALI;NULL;Contado
CN5913;DROG FARMACIA Y MISC;CALI;NULL;Contado
CN5915;MED LAB OP AMBUL;TUMACO/N;NULL;CREDITO 30 DIAS
CN5917;VETERINARIOS;CALI;NULL;Contado
CN5918;ODONTO CENTRO ODONTO;CALI;NULL;Contado
